t,mode,err_norm,tau_norm,q1,q2,q3,q4,q5,q6,q7,qd1,qd2,qd3,qd4,qd5,qd6,qd7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.306,pd_only,0.3273347065538133,21.699063862681065,0.010245687942170977,-0.7038330093689945,0.009056412958471276,-2.222926851517272,0.0034327547360082744,1.5928414087736473,0.802370127953979,0.03267293649199047,-0.011886584008626796,0.029289261477387765,-0.07332175782575132,0.010963224224722352,-0.022916028381089023,0.007586708326134272,14.727993998655524,-11.528798147899094,9.51857996687657,-3.899741178310029,2.8318773213497526,-2.207566758697169,1.5225480473094504
0.308,pd_only,0.32720345716278754,21.691128170554414,0.010311011319339976,-0.7038567752867818,0.009114974738352034,-2.2230734492923916,0.003454675024782949,1.5927955903615552,0.8023852983569149,0.03266168858449961,-0.01188295889362534,0.029280889940378557,-0.07329888755981918,0.01096014438733744,-0.022909206046092576,0.007585201467921284,14.722923853738456,-11.526947074359661,9.514579955178355,-3.8911713307061837,2.831238012571418,-2.206455077435738,1.522250607615883
0.31,pd_only,0.3270722952774493,21.683197644933237,0.010376312208436584,-0.703880533958378,0.00917351977956826,-2.2232200013391124,0.003476589155765814,1.5927497855907402,0.8024004657467375,0.032650444548304326,-0.011879335798110981,0.029272520608113188,-0.07327602336047635,0.010957065491432492,-0.022902385407478267,0.007583694911306145,14.71785545426981,-11.5250965525467,9.510581089030813,-3.8826041668583287,2.8305988829324873,-2.205343728808416,1.5219532269900178
0.312,pd_only,0.3269412208974901,21.675272285390704,0.010441590617200732,-0.7039042853878195,0.00923204808652818,-2.223366507669566,0.003498497130839176,1.59270399445781,0.8024156301240499,0.032639204382073544,-0.011875714720720302,0.02926415347996004,-0.07325316522672107,0.01095398753668108,-0.02289556646509851,0.0075821886562283235,14.712788799648814,-11.523246582156203,9.506583368132862,-3.8740396860485116,2.829959932378431,-2.204232712731114,1.5216559054200252
0.314,pd_only,0.32681023402259873,21.667352091499698,0.010506846553369685,-0.7039280295791397,0.009290559663638755,-2.223512968295881,0.0035203989518846897,1.5926582169593724,0.8024307914894552,0.032627968084476704,-0.011872095660090254,0.02925578855528791,-0.07323031315755055,0.010950910522756862,-0.02288874921880629,0.0075806827026289846,14.707723889274913,-11.521397162884357,9.502586792183505,-3.8654778875588516,2.829321160854738,-2.2031220291197595,1.5213586428940882
0.316,pd_only,0.32667933465246135,21.659437062832794,0.010572080024678052,-0.7039517665363694,0.009349054515305688,-2.223659383230185,0.003542294620783357,1.5926124530920354,0.8024459498435561,0.0326167356541837,-0.011868478614858772,0.029247425833465995,-0.07320746715196341,0.01094783444933369,-0.022881933668454486,0.007579177050448258,14.702660722547751,-11.51954829442756,9.498591360881832,-3.8569187706716392,2.8286825683069186,-2.202011677890278,1.5210614394003807
0.318,pd_only,0.3265485227867604,21.65152719896228,0.010637291038857782,-0.7039754962635367,0.009407532645933416,-2.223805752484603,0.003564184139415528,1.5925667028524075,0.8024611051869553,0.03260550708986488,-0.01186486358366436,0.029239065313863916,-0.07318462720895742,0.010944759316085453,-0.022875119813896377,0.007577671699627963,14.697599298867186,-11.517699976482426,9.494597073927011,-3.8483623346692837,2.8280441546804975,-2.2009016589586117,1.520764294927085
0.32,pd_only,0.3264177984251761,21.64362249946012,0.010702479603638163,-0.703999218764667,0.009465994059925119,-2.2239520760712583,0.0035860675096609004,1.5925209662370976,0.8024762575202555,0.032594282390191,-0.011861250565146737,0.029230706995851737,-0.07316179332753074,0.0109416851226862,-0.02286830765498345,0.007576166650108912,14.69253961763327,-11.515852208745759,9.490603931018294,-3.8398085788342557,2.8274059199210213,-2.1997919722407064,1.5204672094623812
0.322,pd_only,0.326287161567385,21.635722963897983,0.01076764572674583,-0.7040229340437829,0.009524438761682718,-2.2240983540022716,0.0036079447333985204,1.5924752432427145,0.8024914068440592,0.032583061553833316,-0.011857639557945266,0.029222350878799933,-0.07313896550667906,0.010938611868810016,-0.02286149719156751,0.00757466190183093,14.687481678246273,-11.514004990914586,9.48661193185502,-3.8312575024492084,2.826767863974056,-2.198682617652523,1.5201701829944538
0.324,pd_only,0.3261566122130608,21.627828591847244,0.010832789415904756,-0.7040466421049043,0.009582866755606876,-2.2242445862897626,0.003629815812506783,1.5924295338658676,0.8025065531589687,0.03257184457946354,-0.011854030560701766,0.029213996962079353,-0.0731161437454022,0.010935539554131285,-0.022854688423499234,0.007573157454735551,14.682425480106668,-11.512158322686131,9.48262107613661,-3.8227091047969277,2.826129986785184,-2.1975735951100246,1.519873215511493
