t,mode,err_norm,tau_norm,q1,q2,q3,q4,q5,q6,q7,qd1,qd2,qd3,qd4,qd5,qd6,qd7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.062,pd_gc,0.5607876756066079,101.75683569787836,0.001741647993018759,-0.5500287678301696,0.001585603972656285,-1.9576366870418946,0.00048234498254326946,1.4136010553232305,0.7109269668663631,0.01941739843125264,3.4943597334106204,0.01608689670404699,5.702820333201286,0.009713394763023697,-3.7851696014861984,-1.7617561259919337,15.585129734765133,-81.72771469012002,9.685940465630022,-55.44515022000044,3.5533143704176826,12.0,10.369658880056267
0.064,pd_gc,0.573846036470245,103.36334189150178,0.0017795337208307582,-0.54298966047502,0.0016167231136855298,-1.9461356241890069,0.0005017400240449284,1.4060411216540198,0.7074114608105946,0.01894286390599951,3.5195536775748475,0.015559570514622355,5.7505314264439225,0.009697520750829467,-3.77996683460539,-1.7577530278842746,15.588824582520964,-82.86345567981498,9.695380787856136,-56.7031532687609,3.552366828527216,12.0,10.428297971753397
0.066,pd_gc,0.5871132875637918,104.9144100606949,0.0018164925411289549,-0.535906420165588,0.0016468241375879216,-1.9345494490198876,0.0005210879625928966,1.3984985524689768,0.703905806112478,0.018479410149098312,3.5416201547159676,0.015050511951195876,5.793087584559632,0.009673969273984137,-3.771284592521487,-1.7528273490582842,15.592437207649548,-83.95916144269604,9.704763108080476,-57.914475170463454,3.551453710261237,12.0,10.482693615580576
0.068,pd_gc,0.6005700323532912,106.4110102296576,0.0018525461971274878,-0.528785061842248,0.0016759424806378918,-1.9228881704808125,0.000540374045641543,1.3909799558758036,0.7004116690916564,0.018026827999266477,3.560679161669956,0.014559171524985096,5.8306392695375155,0.009643041524323187,-3.7592982965866115,-1.7470685104107986,15.595968854622308,-85.0158982613526,9.714086146072292,-59.08000975769214,3.550573627914865,12.0,10.533199926315497
0.07,pd_gc,0.6141974510834988,107.85412009064272,0.0018877160262943662,-0.5216313678471434,0.0017041125151344766,-1.911161503707323,0.0005595841132158477,1.383491597200551,0.6969305525338508,0.017584914583439266,3.576846997552324,0.014085017248292399,5.863333386744698,0.009605033787152351,-3.7441793376262664,-1.7405582789027676,15.59942071224007,-86.0347028952506,9.723348579742979,-60.200629128287936,3.5497252411614273,12.0,10.580141178768622
0.07200000000000001,pd_gc,0.6279773992191874,109.23151341938826,0.0019220236277910688,-0.5144508432782101,0.0017313682366628582,-1.8993788244373981,0.0005787042520510487,1.3760393816854875,0.6934638099069508,0.01715380074835133,3.5902622844666547,0.013627860764190826,5.891339634962449,0.009560069417600525,-3.726107757531762,-1.7333713134500517,15.602793913728302,-87.0,9.73254903817684,-61.277187124956335,3.5489072554981043,12.0,10.623814312202704
0.074,pd_gc,0.6418960678996185,109.81987424489077,0.001955526679724272,-0.507245879971317,0.0017577789875713149,-1.8875462915701389,0.0005977028892911765,1.368627470584769,0.6900126690235237,0.016751525966601535,3.602481653446553,0.013205375454228287,5.916266433629687,0.009499318620063863,-3.7059555503592136,-1.7255704417135864,15.606084899299796,-87.0,9.741682174645296,-62.3107856270891,3.5481194396897706,12.0,10.664490830054175
0.076,pd_gc,0.6559401651279161,110.39880706547072,0.0019882618757310093,-0.500018824865393,0.0017834032459646773,-1.8756699542511455,0.0006165721649767263,1.3612598293551372,0.6865782305761191,0.016367598003368494,3.6135275529619917,0.012812129196681185,5.938168659496676,0.009434637842774896,-3.683820614815851,-1.7172192237022903,15.609036502089639,-87.0,9.75052785384604,-63.31710919715109,3.5474157782008904,12.0,10.702397476241037
0.078,pd_gc,0.6700969074924271,110.9678500147936,0.002020257962031266,-0.49277197978800724,0.0018082883603389246,-1.863755751784584,0.0006353084949661664,1.3539402305696133,0.6831614796711794,0.015998043150128427,3.623422538692866,0.012442557187123731,5.957101233280746,0.009368164994720053,-3.6597993927619052,-1.7083754524698649,15.61179267789436,-87.0,9.759144106035697,-64.2963131286823,3.5467255155380872,12.0,10.737766470810666
0.08,pd_gc,0.684354009280006,111.52656518401973,0.0020515391428854862,-0.48550760130788956,0.0018324731618864542,-1.8518095138013164,0.0006539085742341213,1.3466722570673488,0.6797632960847187,0.015640590427110065,3.6321892400588394,0.012092400773764804,5.973118991633798,0.00930003963397746,-3.633986751132238,-1.6990917932303136,15.614406758935703,-87.0,9.767591489043223,-65.24855933262822,3.5460361308515775,12.0,10.770809282048555
0.082,pd_gc,0.6986996700988267,112.07454326885822,0.0020821265109771444,-0.4782279005511981,0.0018559902513528724,-1.8398369603445917,0.0006723687045017952,1.3394593051379753,0.6763844635437807,0.01529368404582902,3.639850378345717,0.011758544733209147,5.986276728362335,0.009230065133836939,-3.6064759646867506,-1.6894162704690165,15.616908602589621,-87.0,9.775915601619234,-66.17401506371694,3.5453471260976874,12.0,10.801718977736423
0.084,pd_gc,0.7131225616015806,112.61140439422763,0.002112038905088855,-0.4709350429584757,0.0018788676837807907,-1.8278437017977491,0.000690684806002169,1.332304587697354,0.673025678163548,0.014956197055855425,3.6464287963612025,0.011438716213959088,5.996629273421296,0.009158050750186884,-3.577358720310671,-1.679392690116362,15.619318302480224,-87.0,9.784148841880825,-67.07285334717503,3.544660069161909,12.0,10.830671987851952
0.08600000000000001,pd_gc,0.7276118136897964,113.13679821803396,0.00214129349761628,-0.4636311479773585,0.0019011301740101533,-1.8158352386403092,0.0007088525393378684,1.325211137447082,0.6696875561312527,0.014627296263712451,3.6519474905586105,0.011131245114681351,6.004231578719952,0.009083866667849678,-3.54672512513593,-1.6690610161476152,15.621650128810916,-87.0,9.792313877486302,-67.94525379557867,3.543976538849167,12.0,10.857829624397029
0.088,pd_gc,0.7421570004831594,113.6504038323158,0.002169906211425608,-0.4563182886914343,0.0019227999564368175,-1.8038169610351316,0.0007268674196979476,1.3181818100190195,0.6663706407126976,0.014306356904664018,3.6564296429620775,0.010834891213332141,6.009138802588806,0.009007440180039622,-3.5146637140312937,-1.6584577092775847,15.623914372498726,-87.0,9.800426420035063,-68.79140350694776,3.5432977892936983,12.0,10.883339433990544
